MedCodeId	Term	OriginalReadCode	CleansedReadCode	SnomedCTConceptId	SnomedCTDescriptionId	Release	EmisCodeCategoryId
250489015	Mobility poor	13CE	13CE.00	160693001	250489015		17
283088011	Locomotory aid	8D4	8D4..00	183135000	283088011		32
620911000006112	Difficulty in walking	N097	N097.00	228158008	342179011		32
250488011	Mobility very poor	13CD	13CD.00	160692006	250488011		17
460845011	[V]Reduced mobility	ZV4L0	ZV4L000	8510008	506386018		32
256974011	Walking aid use	39B	39B..00	165251008	256974011		3
250468012	Mobile outside with aid	13C2	13C2.00	160681005	250468012		17
250470015	Needs walking aid in home	13C4	13C4.00	160683008	250470015		17
250389016	Exercise physically impossible	1381	1381.00	160629005	250389016		17
2474670012	Dependent on helper pushing wheelchair	398A	398A.00	413121008	2474670012		3
364557018	Provision of locomotory aid	8O15	8O15.00	243751002	364557018		32
